"country","continent","victims","population","references"
"Argentina","Latin America",69,45195777,"[""Tico Times"",""Father Grassi: the sentence will be announced today"",""Argentine prelate says clerical abuse crisis 'just beginning' in pope's country"",""Argentine bishops face charges for accepting sex-abuse complaints"",""Allegations of sexual abuse on 47 young seminarists surfaced in 1994.""]"
"Bolivia","Latin America",85,11673021,"[""Alfonso Pedrajas admitted to sexually assaulting 85 minors in Bolivia in the 1970s and 1980s.""]"
"Brazil","Latin America",148,213993437,"[""Brazil - Brazzil Mag - Close to 2000 Brazilian Priests Caught in Sexual Misconduct"",""Diocese of Anápolis"",""Archdiocese of Penedo"",""Their investigation reveals that...""]"
"Chile","Latin America",123,19297291,"[""Tico Times"",""Corte Suprema confirmó condena a 12 años para el cura 'Tato'""]"
"Colombia","Latin America",,50882891,"[""Tico Times""]"
"Costa Rica","Latin America",1,5137171,"[""Tico Times""]"
"Ecuador","Latin America",4,17643054,"[""Tico Times""]"
"El Salvador","Latin America",1,6486205,"[""Tico Times"",""El Salvador archbishop apologizes over priest sex abuse case"",""Vatican court finds three El Salvador priests guilty of child abuse""]"
"Guatemala","Latin America",1,17915568,"[""Tico Times""]"
"Mexico","Latin America",170,126190788,"[""Tico Times"",""Investigan en México a 426 sacerdotes por casos de abuso sexual de menores"",""A priest identified only as Aristeo 'B' was found guilty of raping an eight-year-old girl""]"
"Nicaragua","Latin America",13,6624554,"[""Tico Times""]"
"Peru","Latin America",19,32933835,"[""Tico Times"",""Detienen a ingeniero de sistemas por tráfico de pornografía infantil"",""https://www.reuters.com/article/us-peru-church-abuse-idUSKCN1RN00U""]"
"Venezuela","Latin America",2,28435943,"[""Tico Times""]"
"United States of America","North America",4228,331915073,"[""https://www.abuselawsuit.com/church-sex-abuse/#:~:text=In%202021%2C%20the%20U.S.%20Conference,members%20from%20across%20the%20country""]"
"Canada","North America",105,38005238,"[""Reference for Canada""]"
"Portugal","Europe",4800,10196709,"[""https://www.euronews.com/2023/02/14/more-than-4800-cases-of-sexual-abuse-within-the-catholic-church-uncovered-in-portugal""]"
"Spain","Europe",500,46754778,"[""https://english.elpais.com/society/2021-02-01/child-abuse-in-the-spanish-catholic-church-in-spain-no-one-does-anything.html""]"
"France","Europe",200000,65273511,"[""https://www.ciase.fr/rapport-final/"",""https://www.nytimes.com/2021/10/05/world/europe/france-catholic-church-abuse.html""]"
"Belgium","Europe",470,11589623,"[""http://www.maklu-online.eu/nl/tijdschrift/panopticon/jaargang-volume-33/1-januari-februari-january-february-2012/seksueel-misbruik-binnen-de-katholieke-kerk-een-sc/pdf/""]"
"Italy","Europe",600,60461826,"[""https://religionnews.com/2022/11/18/italy-church-says-600-sex-abuse-cases-sent-to-vatican/""]"
"Germany","Europe",3677,83783942,"[""https://apnews.com/article/germany-catholic-church-abuse-cdf56e5af040e8224535b92b5af2bb00""]"
"United Kingdom","Europe",3000,67886011,"[""https://www.reuters.com/article/us-britain-abuse-idUSKBN27Q1PU""]"
"Ireland","Europe",15000,4937786,"[""https://www.aljazeera.com/news/2021/10/5/awful-truth-child-sex-abuse-in-the-catholic-church#:~:text=Ireland,up abuse have been punished""]"
"Netherlands","Europe",10000,17134872,"[""https://www.ncronline.org/news/accountability/report-thousands-abused-church-personnel-netherlands""]"
"Poland","Europe",368,37846611,"[""https://www.euronews.com/2021/06/28/polish-catholic-church-reveals-hundreds-of-new-sexual-abuse-claims""]"
"Switzerland","Europe",1000,8654622,"[""https://www.swissinfo.ch/eng/society/priests-committed-over-1-000-sex-crimes-in-switzerland-since-1950/48804720""]"
"Austria","Europe",448,9006398,"[""https://www.sciencedirect.com/science/article/abs/pii/S0145213413002081""]"
"Hungary","Europe",32,9660351,"[""https://emerging-europe.com/news/hungarys-real-pedophilia-problem-has-nothing-to-do-with-gay-content/#:~:text=According to the Hungarian media,number could be far higher""]"
"Slovenia","Europe",12,2078938,"[""https://www.total-slovenia-news.com/news/2147-slovenian-catholic-church-has-processed-only-12-sexual-abuse-reports-since-2009""]"
"Croatia","Europe",13,4105267,"[""https://balkaninsight.com/2023/05/24/croatias-catholic-church-goes-public-on-child-abuse-cases/""]"
"Iceland","Europe",8,341243,"[""https://grapevine.is/news/2012/11/05/catholic-church-investigation-releases-findings/""]"
"Luxembourg","Europe",60,625978,"[""https://today.rtl.lu/news/luxembourg/a/1881542.html""]"
"Indonesia","Asia",50,276361783,"[""https://www.thejakartapost.com/news/2019/12/09/more-than-50-victims-of-sexual-abuse-in-indonesian-catholic-churches-report.html""]"
"Japan","Asia",16,125960000,"[""https://www.cbcj.catholic.jp/2020/04/07/20600/""]"
"Philippines","Asia",,113263256,"[]"
"India","Asia",,1380004385,"[]"
"South Korea","Asia",,51269185,"[]"
"East Timor","Asia",,1318445,"[]"
"Sri Lanka","Asia",,21413250,"[]"
"Thailand","Asia",,69799978,"[]"
"Vietnam","Asia",,97338579,"[]"
"Malaysia","Asia",,32657400,"[]"
"Australia","Oceania",2489,25788220,"[""https://bravehearts.org.au/research-lobbying/stats-facts/child-sexual-abuse-religous-organisations/""]"
"New Zealand","Oceania",1122,4822233,"[""https://www.catholic.org.nz/news/media-releases/nzcatholic-abuse-research/""]"
"Papua New Guinea","Oceania",,8947024,"[]"
"South Africa","Africa",35,60652000,"[""https://cruxnow.com/church-in-africa/2019/02/africa-is-also-grappling-with-clerical-abuse-say-catholic-leaders""]"
"Nigeria","Africa",,206139587,"[]"
"Congo","Africa",,85026000,"[]"
"Kenya","Africa",,53771296,"[]"
"Nigeria","Africa",,206139587,"[]"
